antecedents_str,consequents_str,rule,support,confidence,lift
"Fish, Fruits","Meat, Sweets","Fish, Fruits → Meat, Sweets",0.16838487972508592,0.5306859205776174,1.6846865769609456
"Meat, Sweets","Fish, Fruits","Meat, Sweets → Fish, Fruits",0.16838487972508592,0.5345454545454545,1.6846865769609454
"Fruits, Meat","Fish, Sweets","Fruits, Meat → Fish, Sweets",0.16838487972508592,0.550561797752809,1.5862721103571031
"Fish, Fruits, Meat",Sweets,"Fish, Fruits, Meat → Sweets",0.16838487972508592,0.7860962566844921,1.5739954864347743
"Fish, Fruits",Sweets,"Fish, Fruits → Sweets",0.24627720504009165,0.776173285198556,1.5541267843539894
"Fish, Meat, Sweets",Fruits,"Fish, Meat, Sweets → Fruits",0.16838487972508592,0.7461928934010152,1.543664445353285
"Fish, Meat","Fruits, Sweets","Fish, Meat → Fruits, Sweets",0.16838487972508592,0.5157894736842106,1.5315789473684212
"Fruits, Sweets","Fish, Meat","Fruits, Sweets → Fish, Meat",0.16838487972508592,0.5,1.531578947368421
"Fruits, Meat, Sweets",Fish,"Fruits, Meat, Sweets → Fish",0.16838487972508592,0.7616580310880829,1.5250629842658174
"Fish, Wines",Meat,"Fish, Wines → Meat",0.1672394043528064,0.7525773195876289,1.5103448275862068
"Gold, Sweets",Fish,"Gold, Sweets → Fish",0.19358533791523483,0.7412280701754386,1.4841562047320134
"Gold, Sweets",Fruits,"Gold, Sweets → Fruits",0.18671248568155785,0.7149122807017544,1.4789536043901221
Fruits,"Fish, Sweets","Fruits → Fish, Sweets",0.24627720504009165,0.509478672985782,1.467903899394679
"Fish, Sweets",Fruits,"Fish, Sweets → Fruits",0.24627720504009165,0.7095709570957096,1.467903899394679
"Fish, Wines",Sweets,"Fish, Wines → Sweets",0.16265750286368844,0.731958762886598,1.4655963302752295
"Fruits, Sweets",Fish,"Fruits, Sweets → Fish",0.24627720504009165,0.7312925170068028,1.4642623104287587
"Meat, Sweets",Fruits,"Meat, Sweets → Fruits",0.22107674684994272,0.7018181818181818,1.4518655751831107
"Fruits, Meat",Sweets,"Fruits, Meat → Sweets",0.22107674684994272,0.7228464419475654,1.4473507885784969
"Gold, Meat",Fish,"Gold, Meat → Fish",0.17983963344788087,0.7201834862385321,1.4420187694638498
"Sweets, Wines",Fruits,"Sweets, Wines → Fruits",0.16838487972508592,0.6966824644549764,1.441241212012309
"Fruits, Gold",Sweets,"Fruits, Gold → Sweets",0.18671248568155785,0.7180616740088105,1.4377702784625954
"Fruits, Gold",Fish,"Fruits, Gold → Fish",0.18671248568155785,0.7180616740088105,1.4377702784625954
"Sweets, Wines",Meat,"Sweets, Wines → Meat",0.1729667812142039,0.7156398104265402,1.4362150678215393
"Meat, Sweets",Fish,"Meat, Sweets → Fish",0.2256586483390607,0.7163636363636364,1.4343703085904922
"Fish, Gold",Sweets,"Fish, Gold → Sweets",0.19358533791523483,0.7100840336134455,1.421796700331509
"Fish, Gold",Fruits,"Fish, Gold → Fruits",0.18671248568155785,0.684873949579832,1.4168126966426384
"Fruits, Meat",Fish,"Fruits, Meat → Fish",0.21420389461626574,0.7003745318352059,1.4023554272755385
Sweets,Fruits,Sweets → Fruits,0.33676975945017185,0.6743119266055047,1.3949628244706294
Fruits,Sweets,Fruits → Sweets,0.33676975945017185,0.6966824644549764,1.3949628244706294
Fish,Sweets,Fish → Sweets,0.3470790378006873,0.694954128440367,1.3915021883679826
Sweets,Fish,Sweets → Fish,0.3470790378006873,0.694954128440367,1.3915021883679826
"Fish, Meat",Sweets,"Fish, Meat → Sweets",0.2256586483390607,0.6912280701754386,1.384041525832931
"Fish, Fruits, Sweets",Meat,"Fish, Fruits, Sweets → Meat",0.16838487972508592,0.6837209302325582,1.372157177225341
"Fruits, Wines",Meat,"Fruits, Wines → Meat",0.16838487972508592,0.6837209302325582,1.372157177225341
"Fruits, Wines",Sweets,"Fruits, Wines → Sweets",0.16838487972508592,0.6837209302325582,1.369010027736292
"Fish, Meat",Fruits,"Fish, Meat → Fruits",0.21420389461626574,0.6561403508771929,1.3573709154402593
"Gold, Meat",Fruits,"Gold, Meat → Fruits",0.16380297823596793,0.6559633027522935,1.35700465237619
"Fish, Fruits",Meat,"Fish, Fruits → Meat",0.21420389461626574,0.6750902527075813,1.3548363002614217
"Sweets, Wines",Fish,"Sweets, Wines → Fish",0.16265750286368844,0.6729857819905214,1.3475151093525806
"Fish, Gold",Meat,"Fish, Gold → Meat",0.17983963344788087,0.6596638655462186,1.3238771370617215
"Fruits, Sweets",Meat,"Fruits, Sweets → Meat",0.22107674684994272,0.6564625850340136,1.3174524982406755
Fruits,Fish,Fruits → Fish,0.3172966781214204,0.6563981042654028,1.3143017087699465
Fish,Fruits,Fish → Fruits,0.3172966781214204,0.6353211009174311,1.3143017087699462
Fish,Meat,Fish → Meat,0.32646048109965636,0.6536697247706422,1.3118475166086683
Meat,Fish,Meat → Fish,0.32646048109965636,0.6551724137931034,1.311847516608668
"Fish, Sweets",Meat,"Fish, Sweets → Meat",0.2256586483390607,0.6501650165016502,1.3048139296688288
"Meat, Wines",Fruits,"Meat, Wines → Fruits",0.16838487972508592,0.6282051282051283,1.299580751002552
"Meat, Wines",Sweets,"Meat, Wines → Sweets",0.1729667812142039,0.6452991452991453,1.2920783345095272
"Gold, Meat",Sweets,"Gold, Meat → Sweets",0.16036655211912945,0.6422018348623854,1.2858766097129872
Fruits,Meat,Fruits → Meat,0.30584192439862545,0.6327014218009479,1.2697663016832816
Meat,Fruits,Meat → Fruits,0.30584192439862545,0.6137931034482759,1.2697663016832816
Meat,Sweets,Meat → Sweets,0.3150057273768614,0.632183908045977,1.2658177791838026
Sweets,Meat,Sweets → Meat,0.3150057273768614,0.6307339449541284,1.2658177791838026
"Fruits, Gold",Meat,"Fruits, Gold → Meat",0.16380297823596793,0.6299559471365639,1.2642564180464835
"Meat, Wines",Fish,"Meat, Wines → Fish",0.1672394043528064,0.6239316239316239,1.2492942836979535
"Gold, Sweets",Meat,"Gold, Sweets → Meat",0.16036655211912945,0.6140350877192983,1.2323049001814883
"Fish, Fruits",Gold,"Fish, Fruits → Gold",0.18671248568155785,0.5884476534296029,1.2002682276729986
