antecedents_str,consequents_str,rule,support,confidence,lift
"Fruits, Sweets, Wines","Fish, Gold, Meat","Fruits, Sweets, Wines → Fish, Gold, Meat",0.23960216998191683,0.7433380084151473,2.2964576461093658
"Fish, Gold, Meat","Fruits, Sweets, Wines","Fish, Gold, Meat → Fruits, Sweets, Wines",0.23960216998191683,0.7402234636871509,2.2964576461093658
"Fruits, Gold, Meat","Fish, Sweets, Wines","Fruits, Gold, Meat → Fish, Sweets, Wines",0.23960216998191683,0.7381615598885795,2.261514363536756
"Fish, Sweets, Wines","Fruits, Gold, Meat","Fish, Sweets, Wines → Fruits, Gold, Meat",0.23960216998191683,0.7340720221606648,2.261514363536756
"Fish, Gold, Wines","Fruits, Meat, Sweets","Fish, Gold, Wines → Fruits, Meat, Sweets",0.23960216998191683,0.8018154311649017,2.2593831003016085
"Fruits, Meat, Sweets","Fish, Gold, Wines","Fruits, Meat, Sweets → Fish, Gold, Wines",0.23960216998191683,0.6751592356687898,2.259383100301608
"Fish, Fruits, Wines","Gold, Meat, Sweets","Fish, Fruits, Wines → Gold, Meat, Sweets",0.23960216998191683,0.7330567081604427,2.248989512414562
"Gold, Meat, Sweets","Fish, Fruits, Wines","Gold, Meat, Sweets → Fish, Fruits, Wines",0.23960216998191683,0.7350901525658807,2.248989512414562
"Fish, Fruits, Meat","Gold, Sweets, Wines","Fish, Fruits, Meat → Gold, Sweets, Wines",0.23960216998191683,0.6633291614518149,2.2435536775709704
"Gold, Sweets, Wines","Fish, Fruits, Meat","Gold, Sweets, Wines → Fish, Fruits, Meat",0.23960216998191683,0.8103975535168196,2.24355367757097
"Fruits, Gold, Meat, Sweets","Fish, Wines","Fruits, Gold, Meat, Sweets → Fish, Wines",0.23960216998191683,0.8307210031347964,2.2327519549625388
"Fish, Wines","Fruits, Gold, Meat, Sweets","Fish, Wines → Fruits, Gold, Meat, Sweets",0.23960216998191683,0.6439854191980559,2.2327519549625388
"Fruits, Meat","Fish, Gold, Sweets, Wines","Fruits, Meat → Fish, Gold, Sweets, Wines",0.23960216998191683,0.5915178571428572,2.2290247018739353
"Fish, Gold, Sweets, Wines","Fruits, Meat","Fish, Gold, Sweets, Wines → Fruits, Meat",0.23960216998191683,0.9028960817717206,2.2290247018739353
"Fish, Meat","Fruits, Gold, Sweets, Wines","Fish, Meat → Fruits, Gold, Sweets, Wines",0.23960216998191683,0.5862831858407079,2.2244569589702334
"Fruits, Gold, Sweets, Wines","Fish, Meat","Fruits, Gold, Sweets, Wines → Fish, Meat",0.23960216998191683,0.9090909090909092,2.2244569589702334
"Fish, Gold, Meat, Sweets","Fruits, Wines","Fish, Gold, Meat, Sweets → Fruits, Wines",0.23960216998191683,0.8229813664596274,2.220042417815483
"Fruits, Wines","Fish, Gold, Meat, Sweets","Fruits, Wines → Fish, Gold, Meat, Sweets",0.23960216998191683,0.6463414634146342,2.2200424178154825
"Fish, Meat, Sweets","Fruits, Gold, Wines","Fish, Meat, Sweets → Fruits, Gold, Wines",0.23960216998191683,0.6641604010025063,2.219218741718344
"Fruits, Gold, Wines","Fish, Meat, Sweets","Fruits, Gold, Wines → Fish, Meat, Sweets",0.23960216998191683,0.8006042296072508,2.219218741718344
"Sweets, Wines","Fish, Fruits, Gold, Meat","Sweets, Wines → Fish, Fruits, Gold, Meat",0.23960216998191683,0.6455542021924483,2.203651072916197
"Fish, Fruits, Gold, Meat","Sweets, Wines","Fish, Fruits, Gold, Meat → Sweets, Wines",0.23960216998191683,0.8179012345679013,2.203651072916197
"Fish, Gold, Meat","Fruits, Wines","Fish, Gold, Meat → Fruits, Wines",0.2635623869801085,0.8142458100558658,2.196477721760458
"Fruits, Wines","Fish, Gold, Meat","Fruits, Wines → Fish, Gold, Meat",0.2635623869801085,0.7109756097560975,2.1964777217604574
"Meat, Sweets","Fish, Fruits, Gold, Wines","Meat, Sweets → Fish, Fruits, Gold, Wines",0.23960216998191683,0.5888888888888889,2.1892810457516343
"Fish, Fruits, Gold, Wines","Meat, Sweets","Fish, Fruits, Gold, Wines → Meat, Sweets",0.23960216998191683,0.8907563025210085,2.1892810457516343
