sentiment,rank,word,tfidf_score
Negative,1,batteri,0.0646
Negative,2,last,0.0507
Negative,3,dont,0.0326
Negative,4,long,0.0271
Negative,5,last long,0.0235
Negative,6,week,0.0233
Negative,7,work,0.0214
Negative,8,dont last,0.0195
Negative,9,dead,0.0189
Negative,10,disappoint,0.0178
Negative,11,return,0.0176
Negative,12,remot,0.0174
Negative,13,day,0.0173
Negative,14,brand,0.0169
Negative,15,month,0.0161
Neutral,1,last,0.0344
Neutral,2,long,0.0334
Neutral,3,batteri,0.032
Neutral,4,last long,0.0302
Neutral,5,good,0.0267
Neutral,6,tablet,0.0258
Neutral,7,dont,0.0238
Neutral,8,work,0.0201
Neutral,9,dont last,0.0152
Neutral,10,app,0.0144
Neutral,11,seem,0.0141
Neutral,12,kid,0.0139
Neutral,13,duracel,0.0138
Neutral,14,slow,0.0135
Neutral,15,need,0.0124
Positive,1,great,0.0415
Positive,2,batteri,0.0341
Positive,3,love,0.0306
Positive,4,good,0.0296
Positive,5,tablet,0.0277
Positive,6,work,0.0244
Positive,7,easi,0.0176
Positive,8,kid,0.0154
Positive,9,kindl,0.0142
Positive,10,last,0.0136
Positive,11,long,0.0125
Positive,12,brand,0.0121
Positive,13,old,0.0121
Positive,14,read,0.0121
Positive,15,year,0.0119
