support,itemsets
0.5,Wines
0.5,Gold
0.49638336347197104,Meat
0.49547920433996384,Sweets
0.4914104882459313,Fish
0.4909584086799277,Fruits
0.42857142857142855,"Meat, Wines"
0.40867992766726946,"Fish, Meat"
0.40687160940325495,"Meat, Sweets"
0.4050632911392405,"Fruits, Meat"
0.40415913200723325,"Fruits, Sweets"
0.40325497287522605,"Fish, Fruits"
0.4014466546112116,"Fish, Sweets"
0.3860759493670886,"Gold, Meat"
0.3770343580470163,"Gold, Wines"
0.3720614828209765,"Fish, Wines"
0.37115732368896925,"Sweets, Wines"
0.3707052441229656,"Fruits, Wines"
0.36754068716094035,"Gold, Sweets"
0.3666365280289331,"Fruits, Gold"
0.3616636528028933,"Fish, Gold"
0.3612115732368897,"Fish, Fruits, Meat"
0.36075949367088606,"Fish, Meat, Sweets"
0.3589511754068716,"Meat, Sweets, Wines"
0.358499095840868,"Fish, Meat, Wines"
0.3562386980108499,"Fruits, Meat, Wines"
0.35488245931283907,"Fruits, Meat, Sweets"
0.3485533453887884,"Fish, Fruits, Sweets"
0.33860759493670883,"Gold, Meat, Wines"
0.3268535262206148,"Fish, Fruits, Wines"
0.32640144665461124,"Fish, Sweets, Wines"
0.3259493670886076,"Gold, Meat, Sweets"
0.32459312839059673,"Fruits, Gold, Meat"
0.32368896925858953,"Fish, Gold, Meat"
0.3232368896925859,"Fish, Fruits, Meat, Sweets"
0.32233273056057865,"Fruits, Sweets, Wines"
0.3205244122965642,"Fish, Meat, Sweets, Wines"
0.31871609403254975,"Fish, Fruits, Meat, Wines"
0.31690777576853524,"Fish, Fruits, Gold"
0.3150994575045208,"Fruits, Meat, Sweets, Wines"
0.3150994575045208,"Fruits, Gold, Sweets"
0.31329113924050633,"Fish, Gold, Sweets"
0.29927667269439423,"Fruits, Gold, Wines"
0.2988245931283906,"Fish, Gold, Wines"
0.29566003616636527,"Gold, Sweets, Wines"
0.29294755877034356,"Fish, Fruits, Gold, Meat"
0.29204339963833637,"Fish, Fruits, Sweets, Wines"
0.2911392405063291,"Fish, Gold, Meat, Sweets"
0.29023508137432186,"Fruits, Gold, Meat, Wines"
0.28933092224231466,"Fish, Gold, Meat, Wines"
0.28933092224231466,"Gold, Meat, Sweets, Wines"
0.2884267631103074,"Fruits, Gold, Meat, Sweets"
0.2879746835443038,"Fish, Fruits, Meat, Sweets, Wines"
0.2798372513562387,"Fish, Fruits, Gold, Sweets"
0.2689873417721519,"Fish, Fruits, Gold, Wines"
0.265370705244123,"Fish, Gold, Sweets, Wines"
0.26446654611211573,"Fish, Fruits, Gold, Meat, Sweets"
0.2635623869801085,"Fruits, Gold, Sweets, Wines"
0.2635623869801085,"Fish, Fruits, Gold, Meat, Wines"
0.261754068716094,"Fish, Gold, Meat, Sweets, Wines"
0.25949367088607594,"Fruits, Gold, Meat, Sweets, Wines"
0.2418625678119349,"Fish, Fruits, Gold, Sweets, Wines"
0.23960216998191683,"Fish, Fruits, Gold, Meat, Sweets, Wines"
